Sl,PID,FN,LN,Pos,Coun,DOB
174,194,Peter,Beardsley,F,England,18-Jan-61
175,195,Stuart,Barlow,F,England,16-Jul-68
176,196,Paul,Rideout,F,England,14-Aug-64
177,197,Mo,Johnston,F,Scotland,13-Apr-63
178,199,Clive,Baker,G,England,14-Mar-59
179,200,Craig,Forrest,G,Canada,20-Sep-67
180,201,Frank,Yallop,D,Canada,04-Apr-64
181,202,Steve,Palmer,D,England,31-Mar-68
182,203,Geraint,Williams,D,Wales,05-Jan-62
183,204,John,Wark,D,Scotland,04-Aug-57
184,205,Neil,Thompson,D,England,02-Oct-63
185,206,David,Linighan,D,England,09-Jan-65
186,207,Eddie,Youds,D,England,03-May-70
187,208,Phil,Whelan,D,England,07-Aug-72
188,209,Gavin,Johnson,M,England,10-Oct-70
189,210,Glenn,Pennyfather,M,England,11-Feb-63
190,211,Simon,Milton,M,England,23-Aug-63
191,212,Jason,Dozzell,M,England,09-Dec-67
192,213,David,Gregory,M,England,23-Jan-70
193,214,Steve,Whitton,M,England,04-Dec-60
194,215,Adam,Tanner,M,England,25-Oct-73
195,216,Mick,Stockwell,M,England,14-Feb-65
196,217,Lee,Durrant,M,England,18-Dec-73
197,218,Vlado,Bozinoski,M,Macedonia,30-Mar-64
198,219,Paul,Goddard,F,England,12-Oct-59
199,220,Neil,Gregory,F,Zambia,07-Oct-72
200,221,Bontcho,Guenchev,F,Bulgaria,07-Jul-64
201,222,Chris,Kiwomya,F,England,02-Dec-69
202,225,John,Lukic,G,England,11-Dec-60
203,226,Mark,Beeney,G,England,30-Dec-67
204,227,Rob,Bowman,D,England,21-Nov-75
205,228,David,Wetherall,D,England,14-Mar-71
206,229,Tony,Dorigo,D,England,31-Dec-65
207,230,David,Kerslake,D,England,19-Jun-66
208,231,Jon,Newsome,D,England,06-Sep-70
209,232,Kevin,Sharp,D,Canada,19-Sep-74
210,233,Dylan,Kerr,D,Malta,14-Jan-67
211,234,Chris,Fairclough,D,England,12-Apr-64
212,235,Frank,Strandli,M,Norway,16-May-72
213,236,Ray,Wallace,M,England,02-Oct-69
214,237,David,Rocastle,M,England,02-May-67
215,238,Gary,McAllister,M,Scotland,25-Dec-64
216,239,Gary,Speed,M,Wales,08-Sep-69
217,240,Steve,Hodge,M,England,25-Oct-62
218,241,Mark,Tinkler,M,England,24-Oct-74
219,242,Gordon,Strachan,M,Scotland,09-Feb-57
220,243,David,Batty,M,England,12-Dec-68
221,244,Carl,Shutt,F,England,10-Oct-61
222,245,Noel,Whelan,F,England,30-Dec-74
223,246,Lee,Chapman,F,England,05-Dec-59
224,247,Jamie,Forrester,F,England,01-Nov-74
225,248,Rod,Wallace,F,England,02-Oct-69
226,250,Mike,Hooper,G,England,10-Feb-64
227,251,Bruce,Grobbelaar,G,Zimbabwe,06-Oct-57
228,252,David,James,G,England,01-Aug-70
229,253,Steve,Nicol,D,Scotland,11-Dec-61
230,254,Steve,Harkness,D,England,27-Aug-71
231,255,Nicky,Tanner,D,England,24-May-65
232,256,David,Burrows,D,England,25-Oct-68
233,257,Torben,Piechnik,D,Denmark,21-May-63
234,258,Mark,Wright,D,England,01-Aug-63
235,259,Dominic,Matteo,D,Scotland,28-Apr-74
236,260,Stig Inge,Bjornebye,D,Norway,12-Nov-69
237,261,Rob,Jones,D,England,05-Nov-71
238,262,Jamie,Redknapp,M,England,25-Jun-73
239,263,Michael,Thomas,M,England,24-Aug-67
240,264,Mike,Marsh,M,England,21-Jul-69
241,266,Mark,Walters,M,England,06-Feb-64
242,267,Jan,Molby,M,Denmark,04-Jul-63
243,268,Istvan,Kozma,M,Hungary,03-Dec-64
244,269,John,Barnes,M,England,07-Nov-63
